boat_items
;
model,category,description;
FY550,Sistema de ar-condicionado,Porta-copos em teca na proa;
FY550,Sistema de ar-condicionado,Geleira no flybridge;
FY550,Sistema de ar-condicionado,Antena de internet;
"FY550,Sistema de ar-condicionado,""Antena de TV via satélite, com domo""";
FY550,Sistema de ar-condicionado,Domo vazio para simetria;
FY550,Sistema de ar-condicionado,Fechamento de popa (cor cinza);
FY550,Sistema de ar-condicionado,Fechamento de flybridge (cor cinza);
FY550,Sistema de ar-condicionado,Máquina lava-seca na cabine marinheiro;
FY550,Sistema de ar-condicionado,Freezer extra na cabine marinheiro;
FY670,PLATAFORMA PRINCIPAL,Acesso à plataforma de popa (2) através de um degrau de fibra de vidro e portões de aço inoxidável (2);
FY670,PLATAFORMA PRINCIPAL,Acesso à área da tripulação através de degraus na base da porta;
FY670,PLATAFORMA PRINCIPAL,Acesso à posição do leme (porta lateral);
FY670,PLATAFORMA PRINCIPAL,Acesso à casa das máquinas através de uma escotilha e uma escada de aço inoxidável e teca;
"FY670,PLATAFORMA PRINCIPAL,""Acesso ao flybridge através de degraus de fibra de vidro, aço inoxidável e teca""";
"FY670,PLATAFORMA PRINCIPAL,""Plataforma de popa com depósitos (2), plataforma elevatória hidráulica (450kg) e escada de banho dobrável""";
FY670,PLATAFORMA PRINCIPAL,Porta deslizante traseira com estrutura de aço inoxidável;
FY670,PLATAFORMA PRINCIPAL,Croque;
FY670,PLATAFORMA PRINCIPAL,Alça de proa em aço inoxidável;
FY670,PLATAFORMA PRINCIPAL,Púlpito de proa com grades laterais e aberturas laterais;
"FY670,PLATAFORMA PRINCIPAL,""Bow thruster (13,4 Hp), alta eficiência""";
"FY670,PLATAFORMA PRINCIPAL,""Âncora estilo Bruce (30Kg, 75mt. corrente, 12 mm de diâmetro)""";
FY670,PLATAFORMA PRINCIPAL,Armário de cockpit com armazenamento;
FY670,PLATAFORMA PRINCIPAL,Iluminação no cockpit;
FY670,PLATAFORMA PRINCIPAL,Sofá na praça de popa;
FY670,PLATAFORMA PRINCIPAL,Defensas cilíndricas (6);
"FY670,PLATAFORMA PRINCIPAL,""Guincho de âncora elétrica (2000W) com controles na proa, na posição do leme principal e posição do leme do flybridge""";
FY670,PLATAFORMA PRINCIPAL,Alarme acústico externo para o nível da água de porão na proa e na popa;
FY670,PLATAFORMA PRINCIPAL,Capas de defensas com logotipo Ferretti;
FY670,PLATAFORMA PRINCIPAL,Piso da proa e passadiços em fibra de vidro com superfície antiderrapante;
FY670,PLATAFORMA PRINCIPAL,Chuveiro de mão com água doce quente/ frio na plataforma de popa;
FY670,PLATAFORMA PRINCIPAL,Paiol de âncora;
FY670,PLATAFORMA PRINCIPAL,Suporte de cabos de amarração na proa;
"FY670,PLATAFORMA PRINCIPAL,""Cabos de amarração (4, 12 mt)""";
"FY670,PLATAFORMA PRINCIPAL,""Estações de amarração (2) com tampas em fibra de vidro, e espaço de armazenamento para os cabos de amarração""";
"FY670,PLATAFORMA PRINCIPAL,""Alavanca na sala de máquinas (desligamento de motor e gerador, desligamento de entradas de ar (2) e ventilador, acionamento do sistema de extinção de incêndio)""";
FY670,PLATAFORMA PRINCIPAL,Mangueira de água salgada de combate a incêndios e lavagem de corrente na proa;
FY670,PLATAFORMA PRINCIPAL,Pia com água salgada e água doce quente/ fria na estação de amarração;
FY670,PLATAFORMA PRINCIPAL,Sofás com almofadas e armazenamento na proa;
FY670,PLATAFORMA PRINCIPAL,Mesa de cockpit em aço inoxidável e teca;
"FY670,PLATAFORMA PRINCIPAL,""Cunho de amarração de aço inoxidável: na popa (2), no meio do navio (1 para cada lado) e na proa (2)""";
FY670,PLATAFORMA PRINCIPAL,Passa cabo de popa (2) e proa (2);
FY670,PLATAFORMA PRINCIPAL,Armazenamento no banco de popa;
FY670,PLATAFORMA PRINCIPAL,Piso do cockpit e degraus para plataforma de popa de teca Salão;
FY670,Salão,Acesso ao deck inferior (Escadaria de madeira);
FY670,Salão,Porta de correr na popa de vidro temperado com estrutura de aço inoxidável;
FY670,Salão,Armários com prateleiras;
FY670,Salão,Área de jantar (sofá com mesa de jantar de vidro e 2 cadeiras);
FY670,Salão,Sistema de Home Theater Hi-Fi (2+1);
FY670,Salão,Modem roteador de Internet Wi-Fi;
FY670,Salão,Área de estar (sofás);
FY670,Salão,Cortina romana (simples) nas janelas laterais;
FY670,Salão,Cortina na porta de entrada;
FY670,Salão,TV LED 32” ou equivalente Cozinha;
FY670,Cozinha,Armários com prateleiras e gavetas;
FY670,Cozinha,Fogão tipo cooktop;
"FY670,Cozinha,""Louças, copos e talheres de aço inox – kit para 8 pessoas""";
FY670,Cozinha,Exaustor sobre o cooktop;
FY670,Cozinha,Geladeira (198lt.) + freezer (57lt.);
FY670,Cozinha,Microondas;
FY670,Cozinha,Armário de cozinha suspenso Janela lateral com abertura manual;
FY670,Cozinha,Pia de aço inoxidável com água doce quente/fria;
